Customer_Age,Annual_Income,Product_Category,Membership_Level,Payment_Method
23,125423,Beauty,Gold,Cash
61,78053,Electronics,Bronze,PayPal
62,90855,Books,Bronze,Credit Card
49,35896,Electronics,Bronze,PayPal
62,75761,Books,Platinum,Credit Card
64,82552,Beauty,Silver,Debit Card
38,140075,Electronics,Silver,Credit Card
33,97454,Home,Gold,PayPal
38,146522,Books,Silver,PayPal
28,138681,Home,Silver,Credit Card
54,110600,Electronics,Bronze,Cash
53,142732,Home,Bronze,Debit Card
52,132153,Home,Platinum,Debit Card
36,142926,Electronics,Bronze,PayPal
37,47935,Beauty,Bronze,Cash
35,57641,Home,Bronze,Credit Card
64,49711,Home,Bronze,Debit Card
58,90342,Beauty,Platinum,Cash
66,126896,Home,Bronze,Debit Card
31,32182,Home,Gold,Cash
32,107833,Home,Gold,Cash
48,76276,Clothing,Gold,PayPal
18,39541,Beauty,Gold,Debit Card
20,114457,Home,Bronze,Credit Card
33,102310,Beauty,Gold,PayPal
40,64813,Books,Bronze,PayPal
28,57198,Books,Platinum,Credit Card
29,28820,Home,Gold,PayPal
27,44070,Beauty,Silver,Cash
49,89768,Beauty,Gold,Cash
33,31122,Beauty,Gold,Debit Card
25,100559,Clothing,Bronze,Debit Card
55,93543,Books,Gold,Credit Card
29,103441,Beauty,Silver,Debit Card
41,61786,Beauty,Bronze,Cash
45,114934,Clothing,Bronze,Credit Card
25,119804,Clothing,Platinum,Credit Card
45,26737,Beauty,Platinum,Debit Card
53,56062,Electronics,Gold,Cash
43,74237,Beauty,Platinum,Credit Card
25,71571,Beauty,Platinum,Cash
67,45510,Clothing,Platinum,Cash
45,39426,Clothing,Bronze,Cash
45,57265,Beauty,Bronze,Debit Card
54,37850,Beauty,Bronze,PayPal
58,138249,Beauty,Platinum,PayPal
53,86150,Clothing,Bronze,Credit Card
44,107312,Beauty,Platinum,Cash
34,109613,Beauty,Bronze,Debit Card
26,94910,Home,Bronze,Cash
50,72375,Electronics,Silver,Cash
37,141826,Books,Gold,Debit Card
30,55435,Electronics,Platinum,PayPal
45,116443,Home,Silver,Cash
65,77132,Books,Bronze,Cash
46,98945,Beauty,Platinum,PayPal
30,102050,Home,Bronze,Debit Card
63,149828,Beauty,Gold,Credit Card
52,115402,Clothing,Silver,PayPal
23,22983,Home,Gold,Credit Card
35,117241,Clothing,Silver,Credit Card
68,40662,Home,Bronze,PayPal
22,43510,Home,Gold,Cash
64,98187,Clothing,Gold,Credit Card
42,60998,Books,Bronze,Credit Card
19,76846,Electronics,Gold,Debit Card
27,114071,Beauty,Platinum,Cash
47,26640,Home,Silver,Credit Card
67,64547,Beauty,Silver,Debit Card
62,74620,Clothing,Silver,Cash
22,35317,Beauty,Platinum,PayPal
50,135608,Clothing,Silver,PayPal
18,27564,Beauty,Bronze,Debit Card
35,47345,Electronics,Gold,PayPal
49,133824,Electronics,Platinum,Credit Card
64,114223,Electronics,Silver,Cash
66,143372,Electronics,Bronze,Credit Card
28,99273,Electronics,Gold,Credit Card
38,94859,Electronics,Gold,PayPal
43,100765,Clothing,Platinum,Credit Card
42,130017,Home,Platinum,PayPal
39,94038,Beauty,Platinum,Cash
44,143618,Electronics,Bronze,Cash
66,72393,Clothing,Bronze,Credit Card
30,86081,Clothing,Platinum,Debit Card
50,145341,Clothing,Silver,PayPal
51,122650,Home,Gold,PayPal
58,49430,Beauty,Gold,Credit Card
52,95532,Home,Bronze,PayPal
18,47788,Books,Gold,PayPal
38,115505,Clothing,Silver,Debit Card
65,68543,Books,Gold,Debit Card
23,33919,Electronics,Bronze,Credit Card
45,89346,Electronics,Bronze,Debit Card
34,116122,Home,Silver,Credit Card
22,59974,Beauty,Silver,Cash
48,127309,Books,Gold,Credit Card
22,36371,Beauty,Gold,Cash
55,65084,Home,Bronze,Credit Card
20,49629,Electronics,Silver,PayPal
40,71184,Beauty,Silver,Debit Card
54,81916,Beauty,Silver,Cash
54,147293,Electronics,Gold,Credit Card
27,93972,Books,Silver,Debit Card
27,82187,Electronics,Bronze,Credit Card
36,32984,Beauty,Bronze,Debit Card
34,53039,Books,Gold,Debit Card
38,105431,Books,Platinum,Credit Card
31,103691,Electronics,Gold,Cash
26,78606,Beauty,Platinum,Cash
63,30616,Home,Silver,PayPal
18,122665,Beauty,Gold,Debit Card
68,125373,Clothing,Bronze,PayPal
62,70072,Home,Silver,PayPal
30,44574,Books,Bronze,Credit Card
21,23430,Home,Silver,Credit Card
18,139123,Books,Gold,Credit Card
66,32676,Books,Platinum,Debit Card
57,30816,Home,Silver,Credit Card
49,52733,Books,Platinum,Credit Card
51,105680,Books,Silver,Debit Card
45,22050,Clothing,Bronze,Debit Card
48,129996,Beauty,Bronze,Cash
25,53933,Beauty,Silver,Credit Card
56,44951,Clothing,Platinum,Credit Card
43,52413,Home,Gold,Credit Card
51,54801,Electronics,Gold,Cash
20,75619,Electronics,Bronze,Credit Card
67,52913,Electronics,Gold,Cash
29,132573,Clothing,Bronze,PayPal
18,139076,Clothing,Gold,Cash
61,60600,Books,Silver,PayPal
22,77775,Electronics,Bronze,Credit Card
47,110816,Home,Bronze,PayPal
47,149972,Home,Silver,Cash
34,110093,Electronics,Bronze,Debit Card
65,132590,Electronics,Gold,PayPal
64,55400,Electronics,Gold,PayPal
40,24494,Clothing,Bronze,Credit Card
32,100688,Clothing,Gold,Cash
54,142744,Clothing,Platinum,PayPal
38,109431,Beauty,Bronze,PayPal
31,94691,Home,Silver,PayPal
19,117419,Home,Platinum,PayPal
28,128730,Books,Bronze,Debit Card
68,63001,Clothing,Silver,Cash
56,87364,Beauty,Gold,Credit Card
55,144988,Beauty,Silver,Credit Card
51,65028,Home,Platinum,Debit Card
55,127434,Clothing,Gold,Cash
67,117659,Books,Bronze,PayPal
51,57573,Clothing,Gold,Debit Card
35,20806,Electronics,Bronze,Cash
47,144343,Clothing,Bronze,PayPal
32,76638,Electronics,Silver,Debit Card
44,148301,Electronics,Silver,Cash
68,146295,Books,Silver,Credit Card
51,126506,Home,Platinum,Credit Card
69,49757,Clothing,Platinum,Cash
55,54636,Electronics,Silver,Credit Card
50,100097,Clothing,Platinum,Cash
41,68280,Home,Gold,PayPal
32,44262,Home,Gold,Cash
47,100435,Beauty,Platinum,PayPal
59,82211,Home,Platinum,Debit Card
68,74842,Books,Gold,Cash
34,148583,Electronics,Bronze,Debit Card
22,76979,Beauty,Gold,Credit Card
46,134524,Books,Gold,PayPal
21,101470,Clothing,Platinum,Cash
27,58197,Electronics,Gold,Debit Card
34,61844,Home,Platinum,PayPal
27,84754,Electronics,Platinum,PayPal
34,121868,Clothing,Silver,Credit Card
37,54157,Beauty,Gold,Credit Card
41,97129,Beauty,Bronze,PayPal
22,60042,Beauty,Silver,PayPal
51,81665,Home,Platinum,Cash
23,135512,Books,Platinum,PayPal
19,136953,Books,Bronze,Cash
30,102856,Electronics,Platinum,PayPal
60,47376,Home,Gold,Credit Card
60,129049,Beauty,Silver,Cash
65,75554,Beauty,Platinum,Debit Card
28,34199,Clothing,Platinum,Credit Card
68,138533,Clothing,Bronze,Cash
64,101412,Beauty,Gold,Cash
40,70948,Beauty,Platinum,Debit Card
33,93781,Home,Bronze,Cash
48,92750,Books,Platinum,PayPal
28,86262,Clothing,Bronze,Debit Card
33,137424,Books,Bronze,Credit Card
25,66600,Home,Gold,Credit Card
21,96898,Beauty,Platinum,PayPal
57,82483,Books,Gold,Credit Card
21,38297,Beauty,Bronze,Cash
42,50448,Beauty,Silver,Cash
20,46172,Electronics,Platinum,PayPal
49,62874,Books,Silver,Credit Card
20,27657,Books,Platinum,Credit Card
44,104386,Beauty,Gold,PayPal
46,145617,Home,Gold,Debit Card
49,45425,Electronics,Gold,Credit Card
67,46685,Beauty,Gold,Debit Card
68,142000,Clothing,Gold,Credit Card
36,132855,Clothing,Silver,Credit Card
38,44578,Electronics,Gold,Credit Card
22,48831,Home,Bronze,Credit Card
35,27906,Beauty,Bronze,Cash
45,81413,Books,Silver,Debit Card
59,74028,Electronics,Platinum,Debit Card
39,27287,Home,Bronze,Credit Card
38,53660,Books,Platinum,Credit Card
23,95758,Clothing,Silver,Debit Card
18,80504,Clothing,Platinum,Cash
22,79720,Books,Platinum,PayPal
58,122979,Electronics,Platinum,PayPal
29,54701,Clothing,Platinum,Debit Card
43,103300,Beauty,Silver,Credit Card
63,130177,Books,Bronze,Credit Card
51,37674,Books,Gold,Cash
66,103560,Clothing,Platinum,PayPal
31,131543,Electronics,Bronze,Cash
43,43874,Beauty,Bronze,PayPal
62,63642,Electronics,Silver,Debit Card
44,143867,Home,Bronze,PayPal
26,117820,Home,Silver,Cash
43,85160,Clothing,Platinum,Cash
64,37602,Clothing,Platinum,Cash
39,123320,Clothing,Gold,Debit Card
64,108801,Home,Gold,PayPal
47,45931,Electronics,Gold,PayPal
60,114377,Electronics,Bronze,Cash
65,49192,Clothing,Platinum,PayPal
34,66542,Beauty,Silver,Credit Card
43,147015,Electronics,Gold,Credit Card
53,62520,Home,Silver,Credit Card
18,84772,Books,Silver,PayPal
25,78762,Books,Gold,Debit Card
66,70106,Books,Platinum,Debit Card
52,101121,Beauty,Gold,Debit Card
69,45559,Clothing,Silver,Debit Card
32,125595,Home,Gold,Credit Card
64,53742,Beauty,Silver,Credit Card
39,89669,Home,Silver,Cash
31,100199,Home,Gold,PayPal
43,41754,Clothing,Bronze,PayPal
45,23972,Books,Gold,Debit Card
40,90831,Clothing,Bronze,Credit Card
31,132217,Beauty,Silver,Debit Card
41,61873,Beauty,Silver,Cash
19,114661,Beauty,Bronze,PayPal
62,126532,Clothing,Silver,PayPal
43,146267,Home,Bronze,Debit Card
31,29903,Home,Bronze,Cash
68,23020,Electronics,Silver,PayPal
24,61755,Beauty,Platinum,Cash
20,105956,Home,Bronze,Cash
64,106988,Electronics,Gold,Debit Card
40,65648,Home,Gold,Credit Card
63,123537,Beauty,Silver,Debit Card
60,145991,Books,Platinum,Credit Card
64,29516,Beauty,Silver,Cash
62,132863,Clothing,Platinum,Credit Card
35,135005,Home,Bronze,Cash
55,22396,Home,Bronze,PayPal
